company,website,symbol,dividend,anouncement_date,record_date,ex_date,pay_date
Choice Properties Real Estate Investment Trust,,CHP_UN:CA,0.061667,2018-11-15,2018-11-30,2018-11-29,2018-12-17
Chorus Aviation Inc,,CHR:CA,0.04,2018-11-21,2018-11-30,2018-11-29,2018-12-18
Cineplex Inc,,CGX:CA,0.145,2018-11-20,2018-11-30,2018-11-29,2018-12-31
Citadel Income Fund,,CTF_UN:CA,0.01,2018-01-12,2018-11-30,2018-11-29,2018-12-17
CNB Financial Corp,http://www.cnbbank.bank,CCNE,0.17,2018-11-13,2018-11-30,2018-11-29,2018-12-14
Coca-Cola Co,http://www.coca-colacompany.com,KO,0.39,2018-10-18,2018-11-30,2018-11-29,2018-12-14
Colony Credit Real Estate Inc,http://www.clncredit.com,CLNC,0.145,2018-11-06,2018-11-30,2018-11-29,2018-12-10
Cominar REIT,,CUF_UN:CA,0.06,2018-11-15,2018-11-30,2018-11-29,2018-12-17
Commerce Bancshares Inc,http://www.commercebank.com,CBSH,0.235,2018-10-26,2018-11-30,2018-11-29,2018-12-17
Copa Holdings SA,http://copa.gcs-web.com/#,CPA,0.87,2018-11-14,2018-11-30,2018-11-29,2018-12-14
Coty Inc,http://www.coty.com,COTY,0.125,2018-11-07,2018-11-30,2018-11-29,2018-12-14
Crane Co,http://www.craneco.com,CR,0.35,2018-10-22,2018-11-30,2018-11-29,2018-12-10
Crescent Point Energy Corp,,CPG:CA,0.03,2018-11-15,2018-11-30,2018-11-29,2018-12-17
Crius Energy Trust,,KWH_UN:CA,0.0697,2018-10-10,2018-11-30,2018-11-29,2018-12-17
Crombie Real Estate Investment Trust,,CRR_UN:CA,0.07417,2018-11-20,2018-11-30,2018-11-29,2018-12-14
Cross Timbers Royalty Trust,http://www.crt-crosstimbers.com,CRT,0.144509,2018-11-19,2018-11-30,2018-11-29,2018-12-14
CSS Industries Inc,http://www.cssindustries.com,CSS,0.2,2018-10-31,2018-11-30,2018-11-29,2018-12-14
CSX Corp,http://www.csx.com,CSX,0.22,2018-10-03,2018-11-30,2018-11-29,2018-12-14
CT Real Estate Investment Trust,,CRT_UN:CA,0.06067,2018-11-15,2018-11-30,2018-11-29,2018-12-17
Cullen/Frost Bankers Inc,http://www.frostbank.com,CFR,0.67,2018-10-31,2018-11-30,2018-11-29,2018-12-14
Curtiss-Wright Corp,http://www.curtisswright.com,CW,0.15,2018-11-15,2018-11-30,2018-11-29,2018-12-07
Decisive Dividend Corp,,DE:CA,0.03,2018-11-20,2018-11-30,2018-11-29,2018-12-14
Dividend 15 Split Corp,,DFN:CA,0.1,2018-11-20,2018-11-30,2018-11-29,2018-12-10
Dividend Select 15 Corp,,DS:CA,0.05883,2018-11-20,2018-11-30,2018-11-29,2018-12-10
DoubleLine Income Solutions Trust,,DSL_UN:CA,0.05417,2018-11-12,2018-11-30,2018-11-29,2018-12-04
Dover Corp,http://www.dovercorporation.com,DOV,0.48,2018-11-01,2018-11-30,2018-11-29,2018-12-17
DowDuPont Inc,http://www.dow-dupont.com,DWDP,0.38,2018-10-11,2018-11-30,2018-11-29,2018-12-14
Dream Global REIT,,DRG_UN:CA,0.06667,2018-11-20,2018-11-30,2018-11-29,2018-12-14
Dream Hard Asset Alternatives Trust,,DRA_UN:CA,0.03333,2018-11-20,2018-11-30,2018-11-29,2018-12-14
Dream Industrial Real Estate Investment Trust,,DIR_UN:CA,0.05833,2018-11-20,2018-11-30,2018-11-29,2018-12-14
Dream Office Real Estate Investment Trust,,D_UN:CA,0.08333,2018-11-20,2018-11-30,2018-11-29,2018-12-14
E Split Corp,,ENS:CA,0.1,2018-10-19,2018-11-30,2018-11-29,2018-12-14
East Coast Investment Grade Income Fund,,ECF_UN:CA,0.04,2018-10-16,2018-11-30,2018-11-29,2018-12-14
Eclipse Residential Mortgage Investment Corp,,ERM:CA,0.0625,2018-10-24,2018-11-30,2018-11-29,2018-12-14
Ellington Financial LLC,http://www.ellingtonfinancial.com,EFC,0.41,2018-10-31,2018-11-30,2018-11-29,2018-12-17
Energizer Holdings Inc,http://www.energizerholdings.com,ENR,0.3,2018-11-12,2018-11-30,2018-11-29,2018-12-13
Energy Income Fund,,ENI_UN:CA,0.01,2018-01-12,2018-11-30,2018-11-29,2018-12-17
EPR Properties,http://www.eprkc.com,EPR,0.36,2018-11-16,2018-11-30,2018-11-29,2018-12-17
Estee Lauder Companies Inc,http://www.elcompanies.com,EL,0.43,2018-10-31,2018-11-30,2018-11-29,2018-12-17
European Dividend Growth Fund,,EDGF_UN:CA,0.0416,2018-10-24,2018-11-30,2018-11-29,2018-12-14
European Focused Dividend Fund,,EF_UN:CA,0.05,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Evercore Inc,http://www.evercore.com,EVR,0.5,2018-10-24,2018-11-30,2018-11-29,2018-12-14
Exchange Income Corp,,EIF:CA,0.1825,2018-11-16,2018-11-30,2018-11-29,2018-12-14
Extendicare Inc,,EXE:CA,0.04,2018-11-08,2018-11-30,2018-11-29,2018-12-17
FactSet Research Systems Inc,http://www.factset.com,FDS,0.64,2018-11-13,2018-11-30,2018-11-29,2018-12-18
Faircourt Gold Income Corp,,FGX:CA,0.024,2018-11-12,2018-11-30,2018-11-29,2018-12-14
Faircourt Split Trust,,FCS_UN:CA,0.06,2018-11-13,2018-11-30,2018-11-29,2018-12-06
Financial 15 Split Corp,,FTN:CA,0.1257,2018-11-20,2018-11-30,2018-11-29,2018-12-10
Firm Capital Mortgage Investment Corp,,FC:CA,0.078,2018-10-12,2018-11-30,2018-11-29,2018-12-17
Firm Capital Property Trust,,FCD_UN:CA,0.038333,2018-08-03,2018-11-30,2018-11-29,2018-12-14
First Bancorp,http://www.1firstbank.com,FBP,0.03,2018-11-14,2018-11-30,2018-11-29,2018-12-14
First Financial Northwest Inc,http://www.ffnwb.com,FFNW,0.08,2018-10-25,2018-11-30,2018-11-29,2018-12-14
First National Financial Corp,,FN:CA,1,2018-10-30,2018-11-30,2018-11-29,2018-12-17
First National Financial Corp,,FN:CA,0.158333,2018-11-15,2018-11-30,2018-11-29,2018-12-17
First Northwest Bancorp,http://www.ourfirstfed.com,FNWB,0.03,2018-10-30,2018-11-30,2018-11-29,2018-12-14
Flaherty & Crumrine Investment Grade Fixed Income Fund,,FFI_UN:CA,0.07,2018-10-24,2018-11-30,2018-11-29,2018-12-14
Flowers Foods Inc,http://www.flowersfoods.com,FLO,0.18,2018-11-16,2018-11-30,2018-11-29,2018-12-14
Fortive Corp,http://www.fortive.com,FTV,0.07,2018-11-08,2018-11-30,2018-11-29,2018-12-28
Fortune Brands Home & Security Inc,http://www.fbhs.com,FBHS,0.2,2018-09-24,2018-11-30,2018-11-29,2018-12-19
Freehold Royalties Ltd,,FRU:CA,0.0525,2018-11-14,2018-11-30,2018-11-29,2018-12-17
Gamehost Inc,,GH:CA,0.0575,2018-11-13,2018-11-30,2018-11-29,2018-12-14
Global Dividend Growers Income Fund,,GDG_UN:CA,0.055,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Global Innovation Dividend Fund,,BL_UN:CA,0.033,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Global Real Estate Dividend Growers Corp,,GRL:CA,0.05,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Global Telecom & Utilities Income Fund,,HGI_UN:CA,0.06,2018-11-07,2018-11-30,2018-11-29,2018-12-10
Goldman Sachs Group Inc,http://www.goldmansachs.com,GS,0.8,2018-10-16,2018-11-30,2018-11-29,2018-12-28
GrafTech International Ltd,http://www.graftech.com,EAF,0.085,2018-11-02,2018-11-30,2018-11-29,2018-12-31
Granite Oil Corp,,GXO:CA,0.01,2018-11-22,2018-11-30,2018-11-29,2018-12-14
Granite Real Estate Investment Trust,,GRT_UN:CA,0.227,2018-11-16,2018-11-30,2018-11-29,2018-12-14
Great Elm Capital Corp,http://www.greatelmcc.com,GECC,0.083,2018-08-10,2018-11-30,2018-11-29,2018-12-14
Griffin Industrial Realty Inc,http://www.griffinindustrial.com,GRIF,0.45,2018-11-15,2018-11-30,2018-11-29,2018-12-07
Hamilton Beach Brands Holding Co,http://www.hamiltonbeachbrands.com,HBB,0.085,2018-11-06,2018-11-30,2018-11-29,2018-12-14
Herman Miller Inc,http://www.hermanmiller.com,MLHR,0.1975,2018-10-16,2018-12-01,2018-11-29,2019-01-15
High Arctic Energy Services Inc,,HWO:CA,0.0165,2018-11-21,2018-11-30,2018-11-29,2018-12-14
High Liner Foods Inc,,HLF:CA,0.145,2018-11-08,2018-12-01,2018-11-29,2018-12-15
Holloway Lodging Corp,,HLC:CA,0.035,2018-11-08,2018-11-30,2018-11-29,2018-12-14
Hubbell Inc,http://www.hubbell.com,HUBB,0.84,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Huntington Ingalls Industries Inc,http://www.huntingtoningalls.com,HII,0.86,2018-11-07,2018-11-30,2018-11-29,2018-12-14
Hyster-Yale Materials Handling Inc,http://www.hyster-yale.com,HY,0.31,2018-11-14,2018-11-30,2018-11-29,2018-12-14
Income Financial Trust,,INC_UN:CA,0.10275,2018-11-20,2018-11-30,2018-11-29,2018-12-10
Inovalis Real Estate Investment Trust,,INO_UN:CA,0.06875,2018-11-20,2018-11-30,2018-11-29,2018-12-17
InterRent Real Estate Investment Trust,,IIP_UN:CA,0.024167,2018-11-20,2018-11-30,2018-11-29,2018-12-17
Investment Grade Infrastructure Bond Fund,,IFB_UN:CA,0.04166,2018-09-17,2018-11-30,2018-11-29,2018-12-14
Jamieson Wellness Inc,,JWEL:CA,0.09,2018-11-20,2018-11-30,2018-11-29,2018-12-14
K-Bro Linen Inc,,KBL:CA,0.1,2018-11-09,2018-11-30,2018-11-29,2018-12-14
Killam Apartment REIT,,KMP_UN:CA,0.05333,2018-11-16,2018-11-30,2018-11-29,2018-12-17
Kingstone Companies Inc,http://www.kingstonecompanies.com,KINS,0.1,2018-11-07,2018-11-30,2018-11-29,2018-12-14
Kinsale Capital Group Inc,http://www.kinsalecapitalgroup.com,KNSL,0.07,2018-11-15,2018-11-30,2018-11-29,2018-12-14
Manchester United PLC,http://www.manutd.com,MANU,0.09,2018-11-15,2018-11-30,2018-11-29,2019-01-04
Manulife Floating Rate Senior Loan Fund,,MFR_UN:CA,0.05625,2018-09-19,2018-11-30,2018-11-29,2018-12-14
Manulife U.S. Regional Bank Trust,,MBK_UN:CA,0.0416,2018-09-19,2018-11-30,2018-11-29,2018-12-14
Marine Petroleum Trust,http://www.marps-marine.com,MARPS,0.095933,2018-11-19,2018-11-30,2018-11-29,2018-12-28
Medical Facilities Corp,,DR:CA,0.09375,2018-11-21,2018-11-30,2018-11-29,2018-12-17
Melcor Real Estate Investment Trust,,MR_UN:CA,0.05625,2018-10-15,2018-11-30,2018-11-29,2018-12-17
Meredith Corp,http://www.meredith.com,MDP,0.545,2018-11-14,2018-11-30,2018-11-29,2018-12-14
Mesa Laboratories Inc,http://www.mesalabs.com,MLAB,0.16,2018-10-02,2018-11-30,2018-11-29,2018-12-17
Mesa Royalty Trust,http://thehamiltoncompany.com,MTR,0.0991557,2018-11-19,2018-11-30,2018-11-29,2019-01-31
MGE Energy Inc,http://www.mgeenergy.com,MGEE,0.3375,2018-10-19,2018-12-01,2018-11-29,2018-12-15
Middlefield Can-Global REIT Income Fund,,RCO_UN:CA,0.05416,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Middlefield Healthcare & Life Sciences Dividend Fund,,LS_UN:CA,0.04167,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Middlefield Healthcare & Wellness Dividend Fund,,HWF_UN:CA,0.04167,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Midwestone Financial Group Inc,http://www.midwestone.com,MOFG,0.195,2018-10-17,2018-12-01,2018-11-29,2018-12-17
MINT Income Fund,,MID_UN:CA,0.04,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Minto Apartment Real Estate Investment Trust,,MI_UN:CA,0.03416,2018-11-15,2018-11-30,2018-11-29,2018-12-14
Molson Coors Brewing Co,http://www.molsoncoors.com,TAP,0.41,2018-11-15,2018-11-30,2018-11-29,2018-12-17
Molson Coors Canada Inc,,TPX_B:CA,0.5413,2018-11-15,2018-11-30,2018-11-29,2018-12-17
Morguard North American Residential Real Estate Investment Trust,,MRG_UN:CA,0.0566,2018-11-15,2018-11-30,2018-11-29,2018-12-14
Morguard Real Estate Investment Trust,,MRT_UN:CA,0.08,2018-11-15,2018-11-30,2018-11-29,2018-12-14
Morneau Shepell Inc,,MSI:CA,0.065,2018-11-20,2018-11-30,2018-11-29,2018-12-17
Mullen Group Ltd,,MTL:CA,0.05,2018-11-21,2018-11-30,2018-11-29,2018-12-17
MVB Financial Corp,http://www.mvbbanking.com,MVBF,0.03,2018-11-21,2018-12-01,2018-11-29,2018-12-15
NACCO Industries Inc,http://www.nacco.com,NC,0.165,2018-11-07,2018-11-30,2018-11-29,2018-12-14
National Bank Holdings Corp,http://www.nationalbankholdings.com,NBHC,0.17,2018-11-07,2018-11-30,2018-11-29,2018-12-14
National Beverage Corp,http://www.nationalbeverage.com,FIZZ,2.9,2018-11-20,2018-11-30,2018-11-29,2019-01-29
Navigant Consulting Inc,http://www.navigant.com,NCI,0.05,2018-11-08,2018-11-30,2018-11-29,2018-12-14
Navigators Group Inc,http://www.navg.com,NAVG,0.07,2018-11-07,2018-11-30,2018-11-29,2018-12-21
NBT Bancorp Inc,http://www.nbtbancorp.com,NBTB,0.26,2018-10-22,2018-11-30,2018-11-29,2018-12-14
Nelnet Inc,http://www.nelnet.net,NNI,0.18,2018-11-08,2018-11-30,2018-11-29,2018-12-14
NetEase Inc,http://ir.netease.com,NTES,0.45,2018-11-15,2018-11-30,2018-11-29,2018-12-07
Newell Brands Inc,http://www.newellbrands.com,NWL,0.23,2018-11-09,2018-11-30,2018-11-29,2018-12-14
Nextera Energy Inc,http://www.nexteraenergy.com,NEE,1.11,2018-10-12,2018-11-30,2018-11-29,2018-12-17
Nexus Real Estate Investment Trust,,NXR_UN:CA,0.01333,2018-10-22,2018-11-30,2018-11-29,2018-12-14
Norbord Inc,,OSB:CA,0.6,2018-11-01,2018-12-01,2018-11-29,2018-12-21
North American Construction Group Ltd,,NOA:CA,0.02,2018-10-30,2018-11-30,2018-11-29,2019-01-04
North American Financial 15 Split Corp,,FFN:CA,0.1,2018-11-20,2018-11-30,2018-11-29,2018-12-10
North American Preferred Share Fund,,NPF_UN:CA,0.1146,2018-09-17,2018-11-30,2018-11-29,2018-12-14
Northland Power Inc,,NPI:CA,0.1,2018-11-07,2018-11-30,2018-11-29,2018-12-14
Northview Apartment REIT,,NVU_UN:CA,0.1358,2018-11-15,2018-11-30,2018-11-29,2018-12-17
NorthWest Healthcare Properties REIT,,NWH_UN:CA,0.06667,2018-11-19,2018-11-30,2018-11-29,2018-12-14
NU Skin Enterprises Inc,http://www.nuskinenterprises.com,NUS,0.365,2018-11-07,2018-11-30,2018-11-29,2018-12-12
NVIDIA Corp,http://www.nvidia.com,NVDA,0.16,2018-11-15,2018-11-30,2018-11-29,2018-12-21
Open Text Corp,,OTEX:CA,0.1518,2018-10-31,2018-11-30,2018-11-29,2018-12-20
Orchid Island Capital Inc,http://www.orchidislandcapital.com,ORC,0.08,2018-11-14,2018-11-30,2018-11-29,2018-12-10
Partners Real Estate Investment Trust,,PAR_UN:CA,0.015,2018-11-15,2018-11-30,2018-11-29,2018-12-17
Pathfinder Income Fund,,PCD_UN:CA,0.05,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Peoples Financial Services Corp,http://www.psbt.com,PFIS,0.33,2018-10-26,2018-11-30,2018-11-29,2018-12-14
Permian Basin Royalty Trust,http://www.pbt-permian.com,PBT,0.049958,2018-11-19,2018-11-30,2018-11-29,2018-12-14
Permianville Royalty Trust,http://www.enduroroyaltytrust.com,PVL,0.037902,2018-11-19,2018-11-30,2018-11-29,2018-12-14
PermRock Royalty Trust,http://www.permrock.com,PRT,0.067419,2018-11-19,2018-11-30,2018-11-29,2018-12-14
Perrigo Company PLC,http://www.perrigo.com,PRGO,0.19,2018-10-31,2018-11-30,2018-11-29,2018-12-18
Peyto Exploration & Development Corp,,PEY:CA,0.06,2018-10-15,2018-11-30,2018-11-29,2018-12-14
Picton Mahoney Tactical Income Fund,,PMB_UN:CA,0.0365,2018-11-15,2018-11-30,2018-11-29,2018-12-21
Piedmont Office Realty Trust Inc,http://www.piedmontreit.com,PDM,0.21,2018-10-31,2018-11-30,2018-11-29,2019-01-03
PIMCO Global Income Opportunities Fund,,PGI_UN:CA,0.05688,2018-11-21,2018-11-30,2018-11-29,2018-12-14
Pinebridge Investment Grade Preferred Securities Fund,,PRF_UN:CA,0.125,2018-11-12,2018-11-30,2018-11-29,2018-12-04
Pizza Pizza Royalty Corp,,PZA:CA,0.0713,2018-11-19,2018-11-30,2018-11-29,2018-12-14
Plaza Retail REIT,,PLZ_UN:CA,0.02333,2018-11-15,2018-11-30,2018-11-29,2018-12-17
Power Integrations Inc,http://www.power.com,POWI,0.16,2018-10-25,2018-11-30,2018-11-29,2018-12-31
Prairiesky Royalty Ltd,,PSK:CA,0.065,2018-11-12,2018-11-30,2018-11-29,2018-12-17
Precious Metals And Mining Trust,,MMP_UN:CA,0.02,2018-11-15,2018-11-30,2018-11-29,2018-12-14
Prime Dividend Corp,,PDV:CA,0.05125,2018-11-20,2018-11-30,2018-11-29,2018-12-10
PRO Real Estate Investment Trust,,PRV_UN:CA,0.0175,2018-11-22,2018-11-30,2018-11-29,2018-12-17
Prospect Capital Corp,http://www.prospectstreet.com,PSEC,0.06,2018-11-06,2018-11-30,2018-11-29,2018-12-20
Pure Multi-Family REIT LP,,RUF_U:CA,0.03125,2018-11-20,2018-11-30,2018-11-29,2018-12-17
Real Asset Income and Growth Fund,,RAI_UN:CA,0.04167,2018-09-17,2018-11-30,2018-11-29,2018-12-14
Recipe Unlimited Corp,,RECP:CA,0.1068,2018-11-09,2018-11-30,2018-11-29,2018-12-14
REIT INDEXPLUS Income Fund,,IDR_UN:CA,0.065,2018-10-19,2018-11-30,2018-11-29,2018-12-14
Richards Packaging Income Fund,,RPI_UN:CA,0.11,2018-11-19,2018-11-30,2018-11-29,2018-12-14
Ridgewood Canadian Investment Grade Bond Fund,,RIB_UN:CA,0.053,2018-11-15,2018-11-30,2018-11-29,2018-12-14
RioCan Real Estate Investment Trust,,REI_UN:CA,0.12,2018-11-15,2018-11-30,2018-11-29,2018-12-07
RLI Corp,http://www.rlicorp.com,RLI,0.22,2018-11-08,2018-11-30,2018-11-29,2018-12-27
RLI Corp,http://www.rlicorp.com,RLI,1,2018-11-08,2018-11-30,2018-11-29,2018-12-27
Rocky Brands Inc,http://www.rockybrands.com,RCKY,0.12,2018-11-08,2018-11-30,2018-11-29,2018-12-14
San Juan Basin Royalty Trust,http://www.sjbrt.com,SJT,0.037385,2018-11-19,2018-11-30,2018-11-29,2018-12-14
Savaria Corp,,SIS:CA,0.035,2018-11-21,2018-11-30,2018-11-29,2018-12-14
Savings Bank,,SCIV,0.15,2018-10-29,2018-12-01,2018-11-29,2018-12-15
Savings Bank,,SCIV,0.7,2018-10-30,2018-12-01,2018-11-29,2018-12-15
Schweitzer-Mauduit International Inc,http://www.swmintl.com,SWM,0.44,2018-11-07,2018-11-30,2018-11-29,2018-12-21
Secure Energy Services Inc,,SES:CA,0.0225,2018-11-15,2018-12-01,2018-11-29,2018-12-17
Senior Secured Floating Rate Loan Fund,,FRL_UN:CA,0.054167,2018-09-17,2018-11-30,2018-11-29,2018-12-14
Sentry Select Primary Metals Corp,,PME:CA,0.025,2018-11-15,2018-11-30,2018-11-29,2018-12-14
Sienna Senior Living Inc,,SIA:CA,0.0765,2018-11-15,2018-11-30,2018-11-29,2018-12-14
Sinclair Broadcast Group Inc,http://www.sbgi.net,SBGI,0.2,2018-11-07,2018-11-30,2018-11-29,2018-12-17
Skylon Growth and Income Trust,,SKG_UN:CA,0.05833,2018-11-21,2018-11-30,2018-11-29,2018-12-14
Slate Office REIT,,SOT_UN:CA,0.0625,2018-11-16,2018-11-30,2018-11-29,2018-12-17
Slate Retail REIT,,SRT_U:CA,0.07,2018-11-15,2018-11-30,2018-11-29,2018-12-17
SmartCentres Real Estate Investment Trust,,SRU_UN:CA,0.15,2018-11-19,2018-11-30,2018-11-29,2018-12-17
Spark Energy Inc,http://www.sparkenergy.com,SPKE,0.18125,2018-10-18,2018-11-30,2018-11-29,2018-12-14
SS&C Technologies Holdings Inc,http://www.ssctech.com,SSNC,0.08,2018-11-20,2018-12-01,2018-11-29,2018-12-17
STAG Industrial Inc,http://www.stagindustrial.com,STAG,0.118333,2018-10-10,2018-11-30,2018-11-29,2018-12-17
Stanley Black & Decker Inc,http://www.stanleyblackanddecker.com,SWK,0.66,2018-10-18,2018-11-30,2018-11-29,2018-12-18
Starlight US Multi Family No 5 Core Fund,,STUS_A:CA,0.05417,2018-11-15,2018-11-30,2018-11-29,2018-12-17
Stellus Capital Investment Corp,http://www.stelluscapital.com,SCM,0.1133,2018-10-17,2018-11-30,2018-11-29,2018-12-14
Stepan Co,http://www.stepan.com,SCL,0.25,2018-10-24,2018-11-30,2018-11-29,2018-12-14
Stingray Digital Group Inc,,RAY_A:CA,0.06,2018-11-07,2018-11-30,2018-11-29,2018-12-14
Summit Industrial Income REIT,,SMU_UN:CA,0.043,2018-11-15,2018-11-30,2018-11-29,2018-12-14
SunTrust Banks Inc,http://www.suntrust.com,STI,0.5,2018-11-14,2018-11-30,2018-11-29,2018-12-17
Superior Plus Corp,,SPB:CA,0.06,2018-11-07,2018-11-30,2018-11-29,2018-12-14
Surge Energy Inc,,SGY:CA,0.008333,2018-11-15,2018-11-30,2018-11-29,2018-12-17
Sylogist Ltd,,SYZ:CA,0.095,2018-11-15,2018-11-30,2018-11-29,2018-12-12
Symphony Floating Rate Senior Loan Fund,,SSF_UN:CA,0.05,2018-10-24,2018-11-30,2018-11-29,2018-12-14
Synalloy Corp,http://www.synalloy.com,SYNL,0.25,2018-11-16,2018-11-30,2018-11-29,2018-12-12
Taylor North American Equity Opportunities Fund,,TOF_UN:CA,0.052,2018-10-24,2018-11-30,2018-11-29,2018-12-14
TDb Split Corp,,XTD:CA,0.05,2018-11-20,2018-11-30,2018-11-29,2018-12-10
Tennant Co,http://www.tennantco.com,TNC,0.22,2018-11-09,2018-11-30,2018-11-29,2018-12-14
Tetra Tech Inc,http://www.tetratech.com,TTEK,0.12,2018-11-07,2018-11-30,2018-11-29,2018-12-14
Top 20 US Dividend Trust,,TUT_UN:CA,0.0417,2018-10-18,2018-11-30,2018-11-29,2018-12-14
TORC Oil & Gas Ltd,,TOG:CA,0.022,2018-11-15,2018-11-30,2018-11-29,2018-12-17
TPG Specialty Lending Inc,http://www.tpgspecialtylending.com,TSLX,0.05,2018-11-06,2018-11-30,2018-11-29,2018-12-31
Triplepoint Venture Growth BDC Corp,http://www.tpvg.com,TPVG,0.36,2018-11-02,2018-11-30,2018-11-29,2018-12-14
Triumph Group Inc,http://www.triumphgroup.com,TGI,0.04,2018-11-15,2018-11-30,2018-11-29,2018-12-15
True North Commercial REIT,,TNT_UN:CA,0.0495,2018-11-15,2018-11-30,2018-11-29,2018-12-17
Trustmark Corp,http://www.trustmark.com,TRMK,0.23,2018-10-23,2018-12-01,2018-11-29,2018-12-15
Tsakos Energy Navigation Ltd,http://www.tenn.gr,TNP,0.05,2018-09-07,2018-11-30,2018-11-29,2018-12-06
TWC Enterprises Ltd,,TWC:CA,0.02,2018-11-05,2018-11-30,2018-11-29,2018-12-14
Tyson Foods Inc,http://www.tysonfoods.com,TSN,0.375,2018-08-09,2018-11-30,2018-11-29,2018-12-14
Union Pacific Corp,http://www.up.com,UNP,0.8,2018-11-15,2018-11-30,2018-11-29,2018-12-28
Unique Fabricating Inc,http://www.uniquefab.com,UFAB,0.15,2018-11-09,2018-11-30,2018-11-29,2018-12-07
United Bancshares Inc,http://www.theubank.com,UBOH,0.12,2018-10-22,2018-11-30,2018-11-29,2018-12-17
United Fire Group Inc,http://www.ufginsurance.com,UFCS,0.31,2018-11-16,2018-11-30,2018-11-29,2018-12-14
Universal Forest Products Inc,http://www.ufpi.com,UFPI,0.18,2018-10-17,2018-12-01,2018-11-29,2018-12-15
Valvoline Inc,http://www.valvoline.com,VVV,0.106,2018-11-19,2018-11-30,2018-11-29,2018-12-17
Vermilion Energy Inc,,VET:CA,0.23,2018-11-15,2018-11-30,2018-11-29,2018-12-17
Virtu Financial Inc,http://www.virtu.com,VIRT,0.24,2018-11-07,2018-11-30,2018-11-29,2018-12-14
Voya Financial Inc,http://www.voya.com,VOYA,0.01,2018-10-25,2018-11-30,2018-11-29,2018-12-27
Waste Management Inc,http://www.wm.com,WM,0.465,2018-11-12,2018-11-30,2018-11-29,2018-12-14
Watts Water Technologies Inc,http://www.wattswater.com,WTS,0.21,2018-11-02,2018-11-30,2018-11-29,2018-12-14
Western Forest Products Inc,,WEF:CA,0.0225,2018-11-07,2018-11-30,2018-11-29,2018-12-14
Weyerhaeuser Co,http://www.weyerhaeuser.com,WY,0.34,2018-11-10,2018-11-30,2018-11-29,2018-12-21
Wheaton Precious Metals Corp,,WPM:CA,0.09,2018-11-14,2018-11-30,2018-11-29,2018-12-13
Whitecap Resources Inc,,WCP:CA,0.027,2018-11-15,2018-11-30,2018-11-29,2018-12-17
WPT Industrial Real Estate Investment Trust,,WIR_U:CA,0.0633,2018-11-19,2018-11-30,2018-11-29,2018-12-17
Abercrombie & Fitch Co,http://www.abercrombie.com,ANF,0.2,2018-11-21,2018-12-07,2018-12-06,2018-12-17
Adams Resources & Energy Inc,http://www.adamsresources.com,AE,0.22,2018-11-07,2018-12-07,2018-12-06,2018-12-21
American National Bankshares Inc,http://www.amnb.com,AMNB,0.25,2018-11-21,2018-12-07,2018-12-06,2018-12-21
American National Insurance Co,http://www.americannational.com,ANAT,0.82,2018-10-25,2018-12-07,2018-12-06,2018-12-21
Ametek Inc,http://www.ametek.com,AME,0.14,2018-11-12,2018-12-07,2018-12-06,2018-12-21
Arthur J Gallagher & Co,http://www.ajg.com,AJG,0.41,2018-10-24,2018-12-07,2018-12-06,2018-12-21
Atco Ltd,,ACO_X:CA,0.3766,2018-10-11,2018-12-07,2018-12-06,2018-12-31
Bank of America Corp,http://www.bankofamerica.com,BAC,0.15,2018-10-24,2018-12-07,2018-12-06,2018-12-28
BlackRock Inc,http://www.blackrock.com,BLK,3.13,2018-11-19,2018-12-07,2018-12-06,2018-12-26
Brinker International Inc,http://www.brinker.com,EAT,0.38,2018-10-30,2018-12-07,2018-12-06,2018-12-27
Brooks Automation Inc,http://www.brooks.com,BRKS,0.1,2018-11-19,2018-12-07,2018-12-06,2018-12-20
Canadian National Railway Co,,CNR:CA,0.455,2018-10-23,2018-12-07,2018-12-06,2018-12-28
CCL Industries Inc,,CCL_B:CA,0.13,2018-11-06,2018-12-07,2018-12-06,2018-12-21
Chemical Financial Corp,http://www.chemicalbank.com,CHFC,0.34,2018-10-23,2018-12-07,2018-12-06,2018-12-21
Churchill Downs Inc,http://www.churchilldownsincorporated.com,CHDN,1.63,2018-10-31,2018-12-07,2018-12-06,2019-01-04
Citrix Systems Inc,http://www.citrix.com,CTXS,0.35,2018-10-24,2018-12-07,2018-12-06,2018-12-21
Dominion Energy Inc,http://www.dominionenergy.com,D,0.835,2018-10-31,2018-12-07,2018-12-06,2018-12-20
Elmira Savings Bank,http://www.elmirasavingsbank.com,ESBK,0.23,2018-11-21,2018-12-07,2018-12-06,2018-12-14
Exponent Inc,http://www.exponent.com,EXPO,0.13,2018-10-18,2018-12-07,2018-12-06,2018-12-21
Fidus Investment Corp,http://www.fdus.com,FDUS,0.39,2018-11-01,2018-12-07,2018-12-06,2018-12-21
